Title,Available_OS,Month,Day,Year,Current_Price,Original_Price,Discount_Percentage,Review_Status,Percentage_Positive_Reviews,Reviewer_Count,Game_Tags
ONE PIECE: PIRATE WARRIORS 4,"['win', '', '']",Mar,26,2020,59.99,,,Very Positive,81,667,"['Action', 'Anime', 'Co-op', 'Online Co-Op', 'Fighting', ""Beat 'em up"", 'Multiplayer']"
Unbound: Worlds Apart Prologue,"['win', '', '']",Mar,26,2020,,,,Very Positive,98,57,"['Free to Play', 'Indie', 'Singleplayer', 'Platformer', 'Metroidvania', 'Open World', 'Story Rich']"
One Step From Eden,"['win', 'mac', 'linux']",Mar,26,2020,19.99,,,Very Positive,92,255,"['Action', 'Strategy', 'Indie', 'Adventure', 'Deckbuilding', 'Roguelite', 'Great Soundtrack']"
Last Oasis,"['win', '', '']",Mar,26,2020,24.89,29.99,-17%,Mixed,55,3732,"['Massively Multiplayer', 'Action', 'Survival', 'RPG', 'Adventure', 'Open World', 'Indie']"
Cities: Skylines - Sunset Harbor,"['win', 'mac', 'linux']",Mar,26,2020,14.99,,,Mixed,58,174,"['Strategy', 'Simulation', 'City Builder', 'Management']"
Idle Champions of the Forgotten Realms,"['win', 'mac', '']",Mar,25,2020,,,,Very Positive,83,5522,"['Idler', 'Clicker', 'Free to Play', 'Dungeons & Dragons', 'Early Access', 'Strategy', 'Adventure']"
Half-Life: Alyx,"['win', '', '']",Mar,23,2020,59.99,,,Overwhelmingly Positive,98,12912,"['Masterpiece', 'Action', 'VR', 'Adventure', 'Female Protagonist', 'Atmospheric', 'Story Rich']"
DOOM Eternal,"['win', '', '']",Mar,19,2020,59.99,,,Very Positive,91,29151,"['Action', 'Masterpiece', 'Gore', 'FPS', 'Great Soundtrack', 'Violent', 'Demons']"
Resident Evil 3: Raccoon City Demo,"['win', '', '']",Mar,19,2020,,,,Very Positive,92,7796,"['Action', 'Gore', 'Violent', 'Survival Horror', 'Zombies', 'Horror', 'Remake']"
There is no game : Jam Edition 2015,"['win', 'mac', '']",Mar,18,2020,,,,Very Positive,96,339,"['Casual', 'Indie', 'Adventure', 'Free to Play', 'Comedy', 'Funny', 'Pixel Graphics']"
Stellaris: Federations,"['win', 'mac', 'linux']",Mar,17,2020,19.99,,,Mostly Positive,73,587,"['Strategy', 'Simulation', 'Space']"
Borderlands 3,"['win', '', '']",Mar,13,2020,59.99,,,Very Positive,80,17807,"['RPG', 'Action', 'Online Co-Op', 'Looter Shooter', 'Shooter', 'Co-op Campaign', 'Gore']"
Bombergrounds: Battle Royale,"['win', '', '']",Mar, 6,2020,,,,Very Positive,91,1233,"['Free to Play', 'Massively Multiplayer', 'Strategy', 'Action', 'Indie', 'Cute', 'Early Access']"
"Mýrdalssandur, Iceland","['win', '', '']",Mar, 6,2020,,,,Very Positive,92,495,"['Free to Play', 'Casual', 'Adventure', 'Simulation', 'Indie', 'Walking Simulator', 'VR']"
Walking Simulator,"['win', '', '']",Mar, 5,2020,,,,Very Positive,87,2033,"['Free to Play', 'Simulation', 'Indie', 'Adventure', 'Walking Simulator', 'Multiplayer', 'Masterpiece']"
Isle of Ewe,"['win', '', '']",Mar, 2,2020,,,,Very Positive,89,197,"['Free to Play', 'Indie', 'Adventure', 'Puzzle', '3D Platformer', 'Multiplayer', 'Puzzle Platformer']"
Warzone 2100,"['win', '', '']",Feb,18,2020,,,,Very Positive,94,315,"['Strategy', 'Free to Play', 'RTS', 'War', 'Base Building', 'Real Time Tactics', 'Futuristic']"
I Wanna Maker,"['win', '', '']",Feb,13,2020,,,,Overwhelmingly Positive,96,752,"['Free to Play', 'Indie', 'Early Access', 'Level Editor', 'Precision Platformer', '2D Platformer', 'Platformer']"
Kill or Love,"['win', 'mac', 'linux']",Feb, 7,2020,,,,Very Positive,89,572,"['Free to Play', 'Visual Novel', 'Psychological Horror', 'Casual', 'Indie', 'Anime', 'Romance']"
Moe Era,"['win', 'mac', 'linux']",Feb, 4,2020,,,,Very Positive,86,1418,"['Free to Play', 'Visual Novel', 'Sexual Content', 'Anime', 'Indie', 'Nudity', 'Casual']"
Split or Steal,"['win', '', '']",Jan,31,2020,,,,Very Positive,84,834,"['Free to Play', 'Casual', 'Simulation', 'Idler', 745697, 'Multiplayer']"
Darwin Project,"['win', '', '']",Jan,13,2020,,,,Very Positive,81,15820,"['Battle Royale', 'Multiplayer', 'Survival', 'Action', 'PvP', 'Early Access', 'Indie']"
Coloring Game 2,"['win', '', '']",Jan,10,2020,,,,Overwhelmingly Positive,96,982,"['Free to Play', 'Casual', 'Indie', 'Pixel Graphics', 'Design & Illustration', 'Great Soundtrack', 'Colorful']"
Monster Hunter World: Iceborne,"['win', '', '']",Jan, 9,2020,29.99,39.99,-25%,Mixed,45,9662,"['Action', 'Multiplayer', 'Co-op', 'Hunting', 'Open World', 'Difficult', 'Masterpiece']"
PROP AND SEEK,"['win', '', '']",Jan, 7,2020,,,,Very Positive,85,127,"['Casual', 'Action', 'Strategy', 'Massively Multiplayer', 'Early Access', 'Multiplayer']"
Pixel Studio for pixel art,"['win', '', '']",Dec,24,2019,,,,Very Positive,96,262,"['Animation & Modeling', 'Design & Illustration', 'Game Development', 'Pixel Graphics', 'Photo Editing', 'Free to Play', 'Software']"
Pool 2D - Poolians,"['win', '', '']",Dec,10,2019,,,,Very Positive,80,410,"['Free to Play', 'Massively Multiplayer', 'Simulation', 'Casual', 'Indie', 'Sports', 'Pool']"
Destiny 2: Upgrade Edition,"['win', '', '']",Dec,10,2019,49.99,,,Mixed,57,2595,"['Adventure', 'Action', 'Multiplayer', 'First-Person', 'MMORPG', 'FPS', 'Shooter']"
